                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96926,                  2.497,                  1.019,                0.46993,                0.56728,                0.51382,                0.42245,                0.66893,                 1.3741,                0.92406,             0.00023741,             0.00023741,             0.00023741
                      2,                0.78536,                  1.413,                0.95794,                0.63644,                0.62863,                0.67894,                0.56978,                0.64763,                 1.1122,                0.91598,             0.00045187,             0.00045187,             0.00045187
                      3,                0.75549,                 1.1538,                0.94392,                0.70468,                0.67648,                 0.7509,                0.62997,                0.64556,                0.96582,                0.90815,             0.00064278,             0.00064278,             0.00064278
                      4,                0.70981,                 1.0447,                0.93082,                0.74937,                0.70717,                0.79561,                0.68807,                0.55899,                0.85417,                0.88107,             0.00060797,             0.00060797,             0.00060797
                      5,                0.68778,                0.96285,                0.91372,                0.81794,                0.72105,                0.84038,                0.72594,                0.56503,                0.74702,                0.88366,             0.00060797,             0.00060797,             0.00060797
                      6,                0.65214,                 0.8613,                 0.9056,                0.78001,                0.73714,                0.82891,                   0.72,                0.56158,                 0.7721,                0.88449,             0.00057263,             0.00057263,             0.00057263
                      7,                 0.6265,                0.79404,                0.88792,                0.82997,                0.77057,                0.87549,                0.76681,                0.52663,                0.65232,                0.85714,             0.00053728,             0.00053728,             0.00053728
                      8,                0.60055,                0.73068,                0.88258,                0.84145,                0.75471,                0.87499,                0.77277,                0.49389,                0.63987,                0.85201,             0.00050194,             0.00050194,             0.00050194
                      9,                0.58808,                0.70418,                0.88196,                 0.8486,                0.77922,                0.88464,                0.78106,                0.50339,                0.60978,                0.85874,              0.0004666,              0.0004666,              0.0004666
                     10,                0.57192,                0.66799,                0.87375,                0.84266,                0.78809,                0.88752,                0.77672,                0.51877,                 0.6148,                0.85872,             0.00043126,             0.00043126,             0.00043126
                     11,                0.55099,                0.64216,                 0.8651,                0.89186,                0.81277,                0.92409,                0.82728,                0.45359,                0.52119,                0.83175,             0.00039591,             0.00039591,             0.00039591
                     12,                0.53186,                0.59913,                0.85856,                 0.8694,                0.81944,                0.91412,                0.82135,                0.44968,                0.54281,                0.83538,             0.00036057,             0.00036057,             0.00036057
                     13,                0.53035,                0.59033,                0.86155,                0.86833,                0.81762,                0.91538,                0.82712,                0.43573,                0.52319,                 0.8265,             0.00032523,             0.00032523,             0.00032523
                     14,                0.50796,                0.55401,                0.84696,                0.90164,                0.84822,                0.93909,                0.85077,                0.41842,                0.45708,                0.82217,             0.00028988,             0.00028988,             0.00028988
                     15,                0.49929,                0.52614,                0.85048,                0.90703,                0.85457,                0.94344,                0.86094,                0.41377,                0.44919,                0.82018,             0.00025454,             0.00025454,             0.00025454
                     16,                0.48466,                0.49673,                0.84204,                0.92339,                0.85329,                0.95038,                0.87008,                0.39837,                0.41768,                0.81509,              0.0002192,              0.0002192,              0.0002192
                     17,                0.46565,                0.47209,                0.83341,                0.92558,                0.85977,                0.95282,                0.87353,                0.39286,                0.41413,                 0.8149,             0.00018385,             0.00018385,             0.00018385
                     18,                0.45308,                0.44427,                 0.8336,                0.91889,                0.87231,                 0.9564,                0.87991,                0.37804,                0.39327,                0.80787,             0.00014851,             0.00014851,             0.00014851
                     19,                0.43524,                0.41915,                 0.8217,                0.92655,                0.89373,                 0.9608,                0.88858,                0.36813,                0.37798,                0.80481,             0.00011317,             0.00011317,             0.00011317
                     20,                0.43022,                0.40423,                0.82309,                0.93703,                0.88769,                0.96488,                 0.8968,                0.35434,                0.36544,                0.80284,             7.7826e-05,             7.7826e-05,             7.7826e-05
